No.,Label,x(km),Average,Minimum,Maximum
0,Mainstem headwater       ,157.44,27.50,26.08,29.14
0,Mainstem headwater       ,157.32,27.61,25.94,29.24
0,Mainstem headwater       ,157.07,27.72,25.75,29.54
0,Mainstem headwater       ,156.82,27.82,25.61,29.92
0,Mainstem headwater       ,156.57,27.92,25.55,30.24
0,Mainstem headwater       ,156.32,28.01,25.55,30.49
0,Mainstem headwater       ,156.07,28.10,25.59,30.66
0,                         ,155.82,28.07,25.37,30.84
0,                         ,155.58,28.19,25.32,31.13
0,                         ,155.33,28.31,25.29,31.37
0,                         ,155.08,28.41,25.30,31.54
0,                         ,154.84,28.51,25.34,31.65
0,                         ,154.59,28.60,25.40,31.73
0,                         ,154.35,28.68,25.49,31.77
0,                         ,154.10,28.75,25.58,31.80
0,                         ,153.85,28.82,25.68,31.83
0,                         ,153.61,28.88,25.77,31.85
0,                         ,153.36,28.94,25.86,31.88
0,                         ,153.11,28.99,25.93,31.92
0,                         ,152.87,29.03,25.99,31.96
0,                         ,152.62,29.08,26.04,32.01
0,                         ,152.38,29.11,26.08,32.05
0,                         ,152.13,29.15,26.11,32.09
0,                         ,151.88,29.18,26.13,32.13
0,                         ,151.64,28.94,25.96,31.82
0,                         ,151.39,28.96,25.97,31.84
0,                         ,151.14,28.97,25.99,31.86
0,                         ,150.89,28.99,26.00,31.87
0,                         ,150.64,29.00,26.02,31.89
0,                         ,150.39,29.02,26.03,31.90
0,                         ,150.14,29.03,26.05,31.91
0,                         ,149.90,29.05,26.07,31.91
0,                         ,149.65,29.06,26.09,31.92
0,                         ,149.40,29.07,26.10,31.93
0,                         ,149.15,29.09,26.12,31.93
0,                         ,148.92,29.09,26.13,31.93
0,                         ,148.71,29.10,26.14,31.94
0,                         ,148.49,29.09,26.16,31.91
0,                         ,148.24,29.10,26.21,31.87
0,                         ,148.00,29.10,26.27,31.83
0,                         ,147.76,29.11,26.35,31.77
0,                         ,147.51,29.11,26.44,31.69
0,                         ,147.27,29.12,26.53,31.61
0,                         ,147.03,29.12,26.64,31.51
0,                         ,146.78,29.13,26.76,31.41
0,                         ,146.54,29.13,26.88,31.30
0,                         ,146.30,29.13,27.02,31.20
0,                         ,146.05,29.14,27.16,31.10
0,                         ,145.81,29.14,27.30,30.99
0,                         ,145.57,29.15,27.45,30.90
0,                         ,145.32,28.95,27.42,30.57
0,                         ,145.08,28.95,27.57,30.47
0,                         ,144.84,28.96,27.72,30.37
0,                         ,144.59,28.96,27.87,30.26
0,                         ,144.33,28.96,28.03,30.11
0,                         ,144.04,28.96,28.18,29.96
0,                         ,143.77,28.97,28.31,29.83
0,                         ,143.52,28.93,28.39,29.61
0,                         ,143.27,28.93,28.49,29.48
0,                         ,143.02,28.94,28.59,29.37
0,                         ,142.77,28.94,28.68,29.26
0,                         ,142.52,28.95,28.67,29.20
0,                         ,142.27,28.96,28.63,29.31
0,                         ,142.02,28.96,28.59,29.42
0,                         ,141.77,28.97,28.55,29.53
0,                         ,141.52,28.97,28.51,29.64
0,                         ,141.27,28.98,28.42,29.74
0,                         ,141.02,28.98,28.33,29.84
0,                         ,140.77,28.99,28.24,29.93
0,                         ,140.52,28.99,28.15,30.02
0,                         ,140.27,29.00,28.07,30.11
0,                         ,140.02,29.00,27.99,30.19
0,                         ,139.77,29.01,27.92,30.26
0,                         ,139.52,29.01,27.85,30.32
0,                         ,139.27,29.02,27.78,30.38
0,                         ,139.02,29.02,27.71,30.43
0,                         ,138.77,29.03,27.65,30.48
0,                         ,138.51,29.03,27.61,30.50
0,                         ,138.23,29.04,27.57,30.52
0,                         ,137.96,29.04,27.55,30.53
0,                         ,137.69,28.89,27.40,30.36
0,                         ,137.41,28.80,27.31,30.25
0,  Algonquin impoundment  ,137.15,28.71,27.21,30.12
0,  Algonquin impoundment  ,136.90,28.72,27.29,30.02
0,  Algonquin impoundment  ,136.65,28.73,27.40,29.89
0,  Algonquin impoundment  ,136.40,28.74,27.55,29.76
0,  Algonquin impoundment  ,136.15,28.76,27.71,29.61
0,  Algonquin impoundment  ,135.90,28.77,27.88,29.48
0,  Algonquin impoundment  ,135.65,28.78,28.05,29.34
0,  Algonquin impoundment  ,135.39,28.79,28.21,29.21
0,  Algonquin impoundment  ,135.14,28.80,28.33,29.09
0,  Algonquin impoundment  ,134.89,28.81,28.40,29.15
0,  Algonquin impoundment  ,134.64,28.82,28.40,29.26
0,  Algonquin impoundment  ,134.39,28.83,28.35,29.38
0,  Algonquin impoundment  ,134.14,28.84,28.27,29.49
0,  Algonquin impoundment  ,133.89,28.85,28.19,29.59
0,  Algonquin impoundment  ,133.64,28.85,28.10,29.67
0,  Algonquin impoundment  ,133.39,28.86,28.04,29.72
0,  Algonquin impoundment  ,133.14,28.87,27.99,29.76
0,  Algonquin impoundment  ,132.89,28.88,27.96,29.77
0,  Algonquin impoundment  ,132.63,28.89,27.96,29.77
0,  Algonquin impoundment  ,132.38,28.90,27.97,29.75
0,  Algonquin impoundment  ,132.13,28.91,28.00,29.72
0,  Algonquin impoundment  ,131.88,28.92,28.04,29.68
0,  Algonquin impoundment  ,131.63,28.93,28.08,29.65
0,Algonquin dam            ,131.43,28.94,28.19,29.59
0,                         ,131.23,28.94,28.03,29.82
0,                         ,130.97,28.96,27.75,30.36
0,                         ,130.72,28.97,27.47,30.89
0,                         ,130.46,28.98,27.19,31.43
0,                         ,130.21,28.99,26.93,31.93
0,                         ,129.95,28.73,26.46,32.02
0,                         ,129.70,28.75,26.19,32.47
0,                         ,129.44,28.77,25.92,32.89
0,                         ,129.19,28.78,25.67,33.28
0,                         ,128.93,28.80,25.43,33.64
0,                         ,128.68,28.81,25.21,33.97
0,                         ,128.42,28.82,25.00,34.27
0,                         ,128.17,28.83,24.81,34.55
0,                         ,127.91,28.84,24.62,34.81
0,                         ,127.66,28.85,24.44,35.05
0,                         ,127.40,28.86,24.27,35.26
0,                         ,127.15,28.86,24.11,35.45
0,                         ,126.89,28.87,23.96,35.63
0,                         ,126.64,28.87,23.81,35.79
0,  Carpentersville impound,126.38,28.88,23.77,35.80
0,  Carpentersville impound,126.12,28.88,23.72,35.78
0,  Carpentersville impound,125.85,28.88,23.69,35.75
0,  Carpentersville impound,125.59,28.89,23.66,35.70
0,  Carpentersville impound,125.33,28.89,23.65,35.63
0,  Carpentersville impound,125.06,28.89,23.65,35.56
0,  Carpentersville impound,124.80,28.90,23.66,35.48
0,  Carpentersville impound,124.54,28.90,23.68,35.39
0,Carpentersville dam      ,124.33,28.91,24.66,33.61
0,                         ,124.14,28.92,24.82,33.44
0,                         ,123.89,28.92,24.98,33.25
0,                         ,123.65,28.93,25.13,33.06
0,                         ,123.40,28.92,25.26,32.86
0,                         ,123.16,28.70,25.26,32.34
0,                         ,122.91,28.71,25.38,32.16
0,                         ,122.67,28.71,25.49,31.98
0,                         ,122.43,28.72,25.59,31.80
0,                         ,122.18,28.73,25.69,31.64
0,                         ,121.94,28.73,25.79,31.47
0,                         ,121.69,28.74,25.88,31.31
0,                         ,121.45,28.74,25.96,31.16
0,                         ,121.20,28.75,26.05,31.01
0,                         ,120.96,28.76,26.13,30.86
0,                         ,120.72,28.71,26.17,30.64
0,                         ,120.47,28.71,26.24,30.50
0,                         ,120.23,28.72,26.31,30.35
0,                         ,119.98,28.71,26.33,30.31
0,                         ,119.74,28.71,26.35,30.27
0,                         ,119.49,28.71,26.38,30.23
0,                         ,119.25,28.71,26.41,30.19
0,                         ,119.01,28.71,26.44,30.15
0,                         ,118.76,28.71,26.47,30.10
0,                         ,118.52,28.71,26.51,30.05
0,                         ,118.27,28.71,26.55,29.99
0,                         ,118.03,28.71,26.59,29.94
0,                         ,117.78,28.71,26.64,29.88
0,                         ,117.54,28.71,26.69,29.83
0,                         ,117.29,28.71,26.74,29.80
0,                         ,117.05,28.71,26.79,29.78
0,                         ,116.81,28.71,26.85,29.76
0,                         ,116.56,28.71,26.90,29.73
0,                         ,116.32,28.71,26.96,29.71
0,  Elgin impoundment      ,116.07,28.66,27.13,29.58
0,  Elgin impoundment      ,115.82,28.66,27.35,29.48
0,  Elgin impoundment      ,115.58,28.66,27.57,29.38
0,  Elgin impoundment      ,115.33,28.17,27.35,28.79
0,  Elgin impoundment      ,115.08,28.18,27.56,28.71
0,  Elgin impoundment      ,114.83,28.18,27.76,28.63
0,  Elgin impoundment      ,114.59,28.19,27.88,28.53
0,Elgin dam                ,114.39,28.22,27.89,28.63
0,                         ,114.17,28.22,27.84,28.75
0,                         ,113.89,28.23,27.78,28.87
0,                         ,113.61,28.23,27.72,28.99
0,                         ,113.35,28.24,27.67,29.08
0,                         ,113.10,28.24,27.62,29.18
0,                         ,112.85,28.25,27.57,29.27
0,                         ,112.60,28.25,27.52,29.35
0,                         ,112.35,28.26,27.47,29.43
0,                         ,112.10,28.26,27.41,29.51
0,                         ,111.85,28.27,27.36,29.58
0,                         ,111.60,28.27,27.30,29.64
0,                         ,111.35,28.27,27.25,29.70
0,                         ,111.10,27.16,26.16,28.43
0,                         ,110.85,27.17,26.12,28.47
0,  South Elgin impoundment,110.60,26.92,25.76,28.29
0,  South Elgin impoundment,110.35,26.94,25.71,28.36
0,  South Elgin impoundment,110.10,26.97,25.67,28.41
0,  South Elgin impoundment,109.85,27.00,25.64,28.46
0,  South Elgin impoundment,109.60,27.02,25.63,28.50
0,  South Elgin impoundment,109.35,27.05,25.61,28.53
0,  South Elgin impoundment,109.10,27.07,25.61,28.54
0,  South Elgin impoundment,108.85,27.10,25.62,28.55
0,  South Elgin impoundment,108.60,27.12,25.63,28.55
0,South Elgin dam          ,108.40,27.22,25.82,28.45
0,                         ,108.20,27.27,25.85,28.45
0,                         ,107.95,27.32,25.79,28.54
0,                         ,107.69,27.37,25.69,28.84
0,                         ,107.44,27.41,25.58,29.15
0,                         ,107.19,27.45,25.47,29.47
0,                         ,106.94,27.50,25.36,29.79
0,                         ,106.69,27.54,25.25,30.10
0,                         ,106.43,27.58,25.15,30.42
0,                         ,106.18,27.62,25.05,30.73
0,                         ,105.93,27.60,24.81,31.05
0,                         ,105.68,27.65,24.69,31.42
0,                         ,105.43,27.70,24.58,31.76
0,                         ,105.18,27.75,24.47,32.09
0,                         ,104.93,27.79,24.35,32.40
0,                         ,104.68,27.84,24.24,32.69
0,                         ,104.43,27.88,24.13,32.97
0,                         ,104.18,27.92,24.02,33.23
0,                         ,103.94,27.96,23.91,33.47
0,                         ,103.69,28.00,23.81,33.70
0,                         ,103.44,28.03,23.70,33.91
0,                         ,103.19,28.07,23.60,34.10
0,                         ,102.94,28.10,23.50,34.28
0,                         ,102.69,28.14,23.40,34.44
0,                         ,102.44,28.16,23.34,34.55
0,                         ,102.21,28.18,23.28,34.64
0,                         ,101.97,28.20,23.23,34.71
0,                         ,101.73,28.22,23.18,34.76
0,                         ,101.49,28.24,23.15,34.80
0,                         ,101.26,28.26,23.12,34.83
0,                         ,101.02,28.28,23.09,34.84
0,                         ,100.78,28.31,23.08,34.84
0,                         ,100.54,28.33,23.07,34.83
0,                         ,100.30,28.33,23.70,33.49
0,                         ,100.06,28.40,24.54,32.38
0,                         ,99.82,28.46,25.50,31.38
0,                         ,99.58,28.52,26.50,30.57
0,                         ,99.34,28.58,27.44,29.84
0,                         ,99.10,28.62,28.13,29.11
0,                         ,98.85,28.67,28.27,29.26
0,                         ,98.61,28.71,27.95,29.75
0,                         ,98.37,28.76,27.63,30.06
0,                         ,98.13,28.80,27.43,30.23
0,  St Charles impoundment ,97.88,28.78,27.35,30.24
0,  St Charles impoundment ,97.62,28.78,27.33,30.24
0,  St Charles impoundment ,97.35,28.78,27.32,30.23
0,  St Charles impoundment ,97.09,28.78,27.32,30.21
0,  St Charles impoundment ,96.83,28.78,27.33,30.17
0,  St Charles impoundment ,96.57,28.78,27.35,30.12
0,St. Charles dam          ,96.36,28.79,27.55,29.87
0,                         ,96.16,28.79,27.62,29.75
0,                         ,95.90,28.79,27.61,29.69
0,                         ,95.64,28.79,27.56,29.71
0,                         ,95.39,28.79,27.49,29.88
0,                         ,95.13,28.79,27.42,30.06
0,                         ,94.87,28.46,27.04,29.86
0,                         ,94.61,28.47,26.96,30.04
0,  Geneva impoundment     ,94.35,28.46,26.93,30.11
0,  Geneva impoundment     ,94.10,28.46,26.92,30.15
0,  Geneva impoundment     ,93.84,28.46,26.91,30.14
0,  Geneva impoundment     ,93.58,28.45,26.91,30.11
0,  Geneva impoundment     ,93.32,28.45,26.93,30.04
0,Geneva dam               ,93.11,28.45,27.33,29.49
0,                         ,92.91,28.45,27.41,29.40
0,                         ,92.67,28.44,27.42,29.33
0,                         ,92.42,28.44,27.36,29.35
0,                         ,92.18,28.44,27.26,29.49
0,                         ,91.94,28.10,26.85,29.27
0,  North Batavia impoundme,91.69,28.10,26.84,29.30
0,  North Batavia impoundme,91.44,28.10,26.82,29.32
0,  North Batavia impoundme,91.18,28.10,26.82,29.32
0,  North Batavia impoundme,90.93,28.10,26.82,29.30
0,  North Batavia impoundme,90.68,28.11,26.83,29.28
0,  North Batavia impoundme,90.43,28.11,26.85,29.26
0,  North Batavia impoundme,90.18,28.11,26.87,29.25
0,  North Batavia impoundme,89.93,28.11,26.89,29.23
0,  North Batavia impoundme,89.67,28.11,26.92,29.21
0,North Batavia dam        ,89.47,28.12,27.09,29.06
0,                         ,89.26,28.12,27.17,28.98
0,                         ,88.99,28.13,27.21,28.92
0,                         ,88.73,28.13,27.18,28.97
0,                         ,88.46,28.13,27.13,29.07
0,  South Batavia impoundme,88.18,27.94,26.91,28.93
0,  South Batavia impoundme,87.91,27.94,26.87,29.00
0,  South Batavia impoundme,87.64,27.94,26.82,29.09
0,South Batavia dam        ,87.43,27.95,26.79,29.13
0,                         ,87.23,27.95,26.74,29.21
0,                         ,86.97,27.95,26.69,29.30
0,                         ,86.71,27.95,26.63,29.38
0,                         ,86.45,27.96,26.58,29.47
0,                         ,86.20,27.96,26.53,29.55
0,                         ,85.94,27.96,26.47,29.63
0,                         ,85.68,27.96,26.42,29.72
0,                         ,85.42,27.95,26.36,29.79
0,  North Aurora impoundmen,85.17,27.95,26.32,29.82
0,  North Aurora impoundmen,84.91,27.95,26.31,29.83
0,  North Aurora impoundmen,84.66,27.95,26.30,29.83
0,  North Aurora impoundmen,84.41,27.95,26.30,29.80
0,  North Aurora impoundmen,84.15,27.96,26.31,29.75
0,  North Aurora impoundmen,83.90,27.96,26.33,29.72
0,North Aurora dam         ,83.70,27.98,26.53,29.45
0,                         ,83.49,27.99,26.61,29.38
0,                         ,83.24,28.01,26.62,29.32
0,                         ,82.98,28.02,26.57,29.29
0,                         ,82.73,28.04,26.50,29.39
0,                         ,82.47,28.03,26.40,29.48
0,                         ,82.22,28.04,26.33,29.60
0,                         ,81.96,28.05,26.25,29.73
0,                         ,81.71,28.06,26.17,29.87
0,                         ,81.45,28.07,26.10,30.01
0,                         ,81.19,28.08,26.02,30.16
0,                         ,80.94,28.09,25.94,30.31
0,                         ,80.68,28.06,25.83,30.40
0,                         ,80.43,28.07,25.74,30.56
0,                         ,80.17,28.08,25.66,30.72
0,                         ,79.92,28.08,25.57,30.87
0,                         ,79.66,28.09,25.49,31.02
0,                         ,79.42,28.09,25.38,31.10
0,                         ,79.20,28.08,25.26,31.18
0,                         ,78.97,28.07,25.14,31.27
0,  Aurora (Stolp) impoundm,78.74,28.06,25.00,31.39
0,  Aurora (Stolp) impoundm,78.50,28.05,24.89,31.49
0,  Aurora (Stolp) impoundm,78.27,28.04,24.81,31.58
0,  Aurora (Stolp) impoundm,78.03,28.03,24.74,31.66
0,Aurora (Stolp Is.) dam   ,77.84,28.04,25.42,30.67
0,                         ,77.64,28.04,25.44,30.65
0,  Hurd's Island impoundme,77.41,28.04,25.47,30.62
0,  Hurd's Island impoundme,77.19,28.04,25.48,30.60
0,Hurd's Island dam (remove,77.00,28.04,25.49,30.58
0,                         ,76.80,28.04,25.51,30.54
0,                         ,76.53,28.04,25.53,30.51
0,                         ,76.27,28.05,25.54,30.48
0,                         ,76.01,28.05,25.55,30.45
0,  Montgomery impoundment ,75.77,28.04,25.54,30.42
0,  Montgomery impoundment ,75.54,28.04,25.51,30.39
0,  Montgomery impoundment ,75.31,28.03,25.49,30.36
0,  Montgomery impoundment ,75.08,28.03,25.47,30.33
0,  Montgomery impoundment ,74.86,28.02,25.46,30.30
0,Montgomery dam           ,74.67,28.02,25.73,30.00
